Success 1: checkpoint_epoch_1_20250320_171718: Pat 6, 40 Epochs, .0001 LR, 32 Batch Size, 4 Layers, .3 Dropout, 16-128 Conv, 2 Linear 128-256, Fold 1:

Epoch [1/40], Train Loss: 1.0812, Train Acc: 40.09%, Val Loss: 1.0369, Val Acc: 45.28%
Epoch [2/40], Train Loss: 1.0076, Train Acc: 47.06%, Val Loss: 0.9834, Val Acc: 48.19%
Epoch [3/40], Train Loss: 0.9565, Train Acc: 50.75%, Val Loss: 0.9536, Val Acc: 50.47%
Epoch [4/40], Train Loss: 0.9233, Train Acc: 52.73%, Val Loss: 0.9037, Val Acc: 54.38%
Epoch [5/40], Train Loss: 0.8814, Train Acc: 55.56%, Val Loss: 0.8819, Val Acc: 53.21%
Epoch [6/40], Train Loss: 0.8555, Train Acc: 57.42%, Val Loss: 0.8665, Val Acc: 57.26%
Epoch [7/40], Train Loss: 0.8302, Train Acc: 57.77%, Val Loss: 0.8352, Val Acc: 58.23%
Epoch [8/40], Train Loss: 0.8096, Train Acc: 59.59%, Val Loss: 0.7692, Val Acc: 62.45%
Epoch [9/40], Train Loss: 0.7901, Train Acc: 61.03%, Val Loss: 0.7784, Val Acc: 61.14%
Epoch [10/40], Train Loss: 0.7684, Train Acc: 62.19%, Val Loss: 0.7321, Val Acc: 64.42%
Epoch [11/40], Train Loss: 0.7526, Train Acc: 63.74%, Val Loss: 0.7292, Val Acc: 64.49%
Epoch [12/40], Train Loss: 0.7333, Train Acc: 65.36%, Val Loss: 0.7149, Val Acc: 65.50%
Epoch [13/40], Train Loss: 0.7241, Train Acc: 65.74%, Val Loss: 0.6824, Val Acc: 67.74%
Epoch [14/40], Train Loss: 0.7060, Train Acc: 66.47%, Val Loss: 0.7194, Val Acc: 65.80%
Epoch [15/40], Train Loss: 0.6862, Train Acc: 68.01%, Val Loss: 0.6599, Val Acc: 68.34%
Epoch [16/40], Train Loss: 0.6659, Train Acc: 68.80%, Val Loss: 0.6501, Val Acc: 69.48%
Epoch [17/40], Train Loss: 0.6533, Train Acc: 69.31%, Val Loss: 0.6206, Val Acc: 72.09%
Epoch [18/40], Train Loss: 0.6527, Train Acc: 69.94%, Val Loss: 0.6469, Val Acc: 70.68%
Epoch [19/40], Train Loss: 0.6422, Train Acc: 70.23%, Val Loss: 0.6503, Val Acc: 70.55%
Epoch [20/40], Train Loss: 0.6351, Train Acc: 70.80%, Val Loss: 0.6123, Val Acc: 70.82%
Epoch [21/40], Train Loss: 0.6170, Train Acc: 71.73%, Val Loss: 0.5687, Val Acc: 74.33%
Epoch [22/40], Train Loss: 0.6012, Train Acc: 72.71%, Val Loss: 0.6006, Val Acc: 71.32%
Epoch [23/40], Train Loss: 0.5957, Train Acc: 73.43%, Val Loss: 0.5621, Val Acc: 75.07%
Epoch [24/40], Train Loss: 0.5816, Train Acc: 73.73%, Val Loss: 0.5633, Val Acc: 75.27%
